id,Message,truth,cube,google,google_spam,google_not_spam,ibm,ibm_spam,ibm_not_spam
1,prelaunch offer  malade bhk  sqftlac bhk  sqftcr bhk  sqftcr incl all with govt chargs poss dec  miss call,spam,spam,spam,0.98,0.02,spam,0.99232517,0.00767483
2,last chance to book a home in sheltrex smart phone city karjat rk bhk  bhk flats starting from rs lac only for details misscall on,spam,spam,not-spam,0.149542,0.850458,not-spam,0.275515456,0.724484544
3,last chance to book your dream home  mira road surrounded by nature    bhk flats available  lowest price ever for details call,spam,spam,not-spam,0.003926,0.996074,spam,0.969017143,0.030982857
4,last chance to book rk bhk or bhk   lac in sheltrex smart phone city  get full access to the upcoming  lane multimodal highway call,spam,spam,spam,0.621356,0.378644,spam,0.993472421,0.006527579
5,la fiesta dosti ambrosia new wadala save up to rsl for first  flats  bhks rscr rsvp  or visit wwwdostiambrosiacomlafiesta,spam,spam,not-spam,0.256043,0.743957,spam,0.852628094,0.147371906
6,own an ultra spacious home in indraprasth by sonam builders  bhayander actual carpet bhk  sqft bhk  sqft possession dec  call,spam,spam,not-spam,0.199312,0.800688,not-spam,0.462690694,0.537309306
7,saal k sabse saste  din  sg grand raj nagar extn bhk   lacs all inclusive bhk mini   lacs all inclusive call,spam,spam,spam,0.856367,0.143633,spam,0.974950451,0.025049549
8,haryana govt affordable housing scheme at sohna south of gurgaon bhklac all inclusiveloan  confirmed allotmentaravali viewto book call,spam,spam,not-spam,0.409204,0.590796,not-spam,0.044787607,0.955212393
9,hurry last day to avail exclusive gudi padwa launch offer  rk to bhk flats at panvel for sqft including all cost at upcoming icon dawda city for booking call  kindly call soon dont miss the chance,spam,spam,spam,0.979462,0.020538,spam,0.995785002,0.004214998
10,last chance to book a home in sheltrex smart phone city karjat rk bhk  bhk flats starting from rs  lac only for more details misscall on,spam,spam,not-spam,0.203244,0.796756,not-spam,0.293185588,0.706814412
11,jmd  sg lekar aayen hain saal k sabse saste  din in sg grand raj ngr extn bhk all inclu bhkmini  lacall incl call jmd grp,spam,spam,spam,0.782433,0.217567,spam,0.994169388,0.005830612
12,prerna aagam bhk appts opp seema hall satelliteprahladnagar at  lacs sample flat ready possession june  for info give missed call to,spam,spam,not-spam,0.127827,0.872173,not-spam,0.050414237,0.949585763
13,crown yourself a villa  venetian villas own a bhk super premium villa  dive into a pure state of serene luxury thaltej call mskamaljeet,spam,spam,spam,0.995541,0.004459,spam,0.994164554,0.005835446
14,for acres of forested residential gated township in heart of city at chembur     bhk apts hubtown seasons call   httpsgoogljxle,spam,spam,spam,0.511225,0.488775,spam,0.982694733,0.017305267
15,book ur bhk flat in just ashiana homes sweet home festival septhotel radisson mahipalpurdiscont upto lacfor ggn  sohna aptscall,spam,spam,spam,0.689689,0.310311,spam,0.993539701,0.006460299
16,bhk home in just rs  nhghaziabad with organic homesfor special discount join janmashtmi carnival th  th sep call,spam,spam,spam,0.573942,0.426058,spam,0.967558872,0.032441128
17,tata a name you can trust in real estate  bhk sec gurgaon bang on sprhaving  green area payment plan   offer till th sept  call,spam,spam,spam,0.982127,0.017873,spam,0.978823385,0.021176615
18,hurry final call for tata primanti  bhk sec gurgaon bang on sprhaving  green area payment plan  offer till th sept  call,spam,spam,spam,0.965696,0.034304,spam,0.994263654,0.005736346
19,bhk  lac onwards next to indrapuram sidarth vihar nh  fng  mts road token only  lac loan avail call,spam,spam,spam,0.70493,0.29507,spam,0.957725671,0.042274329
20,just pay rs  for our services   get haryana govt affordable scheme bhk flat total cost of flat is only rs lacs at sec  faridabad,spam,spam,spam,0.854438,0.145562,not-spam,0.3549344,0.6450656
21,govtaffordable flats scheme faridabad most prime location in sec  bhk total   lacs booking amt lac allotment draw call now,spam,spam,not-spam,0.092401,0.9076,not-spam,0.05723972,0.94276028
22,near airport  new embassy enclave invest in  bhk sq in rgstd society   lac onwrds in new  dwarka membership limited call,spam,spam,not-spam,0.252133,0.747867,not-spam,0.071802082,0.928197918
23,govtaffordable flats scheme faridabad most prime location in sec  near dps school bhk total   lacs confirm allotment with  bank loan call,spam,spam,not-spam,0.09959,0.900411,not-spam,0.006199849,0.993800151
24,a unique lake view concept apts hurry rs  lacs only  luxurious fully loaded bhk suites book in lacs only in south of gurgaon  call,spam,spam,spam,0.999787,0.000213,spam,0.995343221,0.004656779
25,aarohan vipuls ultra luxury bhk apt perhaps the last premium res apt to come on golf course rd ggn near to dlf camellias price  crore cl,spam,spam,not-spam,0.232445,0.767555,spam,0.994049908,0.005950092
26,bhk in west delhi  just rs lac only book by just  lacs diwali special offer in eco homes to book call,spam,spam,spam,0.996561,0.003439,spam,0.995380889,0.004619111
27,first time in faridabad luxry flrs bhk main master road  km from metro station o loan possession in  months bk yur unit now,spam,spam,not-spam,0.246152,0.753848,not-spam,0.009673544,0.990326456
28,st time in faridabad luxry flrs bhk main master road near metro station o loan possession in  months bk yur unit now,spam,spam,not-spam,0.403046,0.596954,not-spam,0.044729642,0.955270358
29,govtaffordable flats scheme  bhk apartments in lac bkg rslac most prime location in sec  near dps school faridabad with  bank loan,spam,spam,not-spam,0.124991,0.875009,not-spam,0.057660356,0.942339644
30,bhk at rs lac rise presents organic homes at nhgzd construction on full swing infinity poolclub on top ltd inventory call,spam,spam,spam,0.762119,0.237881,spam,0.966932054,0.033067946
31,apply today  days left supertech basera  gurgaon under huda govt affordable policy  bhk in  lac  loan book    few units left call,spam,spam,spam,0.946226,0.053774,not-spam,0.242622381,0.757377619
32,haryana govt launch affordable flat  bhk    lac heart of faridabad sector  free parking  bank loan now pay  few days left call now,spam,spam,spam,0.886926,0.113074,not-spam,0.233124615,0.766875385
33,just pay rs  for our services  get haryana govt affordable scheme bhk in  lac all inclusive draw after  month sec faridabad,spam,spam,spam,0.815312,0.184688,not-spam,0.468019735,0.531980265
34,govtapprvd bhkbhk flats totallacs with bkg rslacs most prime location in sec faridabad near rps group  bank loancall,spam,spam,not-spam,0.14177,0.85823,not-spam,0.063972084,0.936027916
